iter	Passed	Remaining
0	179	179776
1	189	94451
2	197	65557
3	206	51314
4	215	42793
5	222	36903
6	232	33002
7	242	30047
8	250	27565
9	259	25708
10	268	24127
11	278	22935
12	286	21739
13	295	20818
14	303	19910
15	311	19136
16	318	18434
17	326	17820
18	334	17253
19	342	16804
20	350	16330
21	359	15964
22	367	15616
23	380	15458
24	389	15187
25	398	14916
26	408	14737
27	416	14465
28	426	14280
29	436	14118
30	444	13892
31	453	13708
32	460	13488
33	468	13314
34	476	13132
35	485	12997
36	492	12830
37	502	12716
38	510	12578
39	519	12479
40	527	12345
41	537	12250
42	545	12137
43	588	12783
44	605	12842
45	613	12714
46	621	12603
47	628	12473
48	637	12366
49	644	12251
50	654	12176
51	663	12094
52	672	12017
53	680	11920
54	689	11848
55	698	11771
56	707	11703
57	720	11695
58	728	11620
59	737	11554
60	751	11566
61	762	11540
62	773	11508
63	782	11449
64	791	11386
65	801	11341
66	810	11286
67	819	11231
68	828	11177
69	836	11110
70	844	11050
71	855	11020
72	864	10980
73	872	10918
74	882	10882
75	890	10821
76	900	10799
77	912	10787
78	922	10760
79	934	10741
80	942	10696
81	954	10680
82	964	10653
83	973	10617
84	985	10604
85	1002	10651
86	1018	10689
87	1029	10668
88	1038	10630
89	1050	10621
90	1060	10597
91	1068	10543
92	1077	10507
93	1084	10455
94	1094	10424
95	1101	10376
96	1112	10354
97	1120	10312
98	1129	10275
99	1136	10226
100	1145	10191
101	1152	10144
102	1161	10113
103	1168	10067
104	1177	10035
105	1184	9992
106	1193	9964
107	1201	9920
108	1210	9894
109	1218	9854
110	1226	9820
111	1233	9780
112	1242	9753
113	1249	9714
114	1258	9687
115	1266	9651
116	1274	9621
117	1282	9585
118	1289	9546
119	1297	9512
120	1304	9476
121	1313	9451
122	1320	9414
123	1330	9397
124	1337	9363
125	1345	9335
126	1354	9308
127	1363	9286
128	1372	9266
129	1381	9248
130	1390	9225
131	1399	9201
132	1408	9179
133	1415	9147
134	1424	9126
135	1431	9096
136	1441	9078
137	1449	9054
138	1459	9039
139	1469	9025
140	1478	9008
141	1485	8977
142	1494	8958
143	1502	8930
144	1512	8916
145	1521	8897
146	1529	8875
147	1537	8853
148	1545	8825
149	1553	8802
150	1560	8775
151	1567	8747
152	1576	8726
153	1583	8699
154	1592	8680
155	1599	8653
156	1607	8632
157	1615	8608
158	1625	8595
159	1632	8570
160	1641	8552
161	1648	8528
162	1657	8509
163	1664	8485
164	1672	8465
165	1680	8441
166	1688	8421
167	1695	8397
168	1704	8379
169	1711	8356
170	1719	8336
171	1727	8314
172	1735	8295
173	1742	8272
174	1750	8253
175	1759	8237
176	1769	8229
177	1778	8212
178	1788	8204
179	1798	8193
180	1808	8185
181	1818	8173
182	1826	8156
183	1836	8143
184	1845	8128
185	1854	8116
186	1863	8100
187	1874	8098
188	1884	8085
189	1893	8072
190	1902	8058
191	1912	8048
192	1922	8039
